battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range,px_area,screen_area,build_score
842,0,2.2,0,1,0,7,0.6,188,2,2,2549,19,0,0,1,1,15120,63,313.33333333333337
1021,1,0.5,1,0,1,53,0.7,136,3,6,2631,7,1,1,0,2,1799140,51,194.2857142857143
563,1,0.5,1,2,1,41,0.9,145,5,6,2603,9,1,1,0,2,2167308,22,161.11111111111111
615,1,2.5,0,0,0,10,0.8,131,6,9,2769,11,1,0,0,2,2171776,128,163.75
1821,1,1.2,0,13,1,44,0.6,141,2,14,1411,15,1,1,0,1,1464096,16,235.0
1859,0,0.5,1,3,0,22,0.7,164,1,7,1067,10,1,0,0,1,1660616,17,234.2857142857143
1821,0,1.7,0,4,1,10,0.8,139,8,10,3220,18,1,0,1,3,387858,104,173.75
1954,0,0.5,1,0,0,24,0.8,187,4,0,700,5,1,1,1,0,588288,48,233.75
1445,1,0.5,0,0,0,53,0.7,174,7,14,1099,20,1,0,0,0,322696,17,248.57142857142858
509,1,0.6,1,2,1,9,0.1,93,5,15,513,12,1,0,0,0,1391688,190,930.0
769,1,2.9,1,0,0,9,0.1,182,5,1,3946,7,0,0,0,3,216752,10,1820.0
1520,1,2.2,0,5,1,33,0.5,177,8,18,3826,13,1,1,1,3,151755,126,354.0
1815,0,2.8,0,2,0,33,0.6,159,4,17,1482,2,1,0,0,1,454036,108,265.0
803,1,2.1,0,7,0,17,1.0,198,4,11,2680,4,1,0,1,2,495360,7,198.0
1866,0,0.5,0,13,1,52,0.7,185,1,17,373,3,1,0,1,0,200428,126,264.2857142857143
775,0,1.0,0,3,0,46,0.7,159,2,16,568,11,1,1,1,0,1606768,255,227.14285714285717
838,0,0.5,0,1,1,13,0.1,196,8,4,3554,19,1,0,1,3,1820400,90,1960.0
595,0,0.9,1,7,1,23,0.1,121,3,17,3752,18,1,1,0,3,357210,20,1210.0
1131,1,0.5,1,11,0,49,0.6,101,5,18,1835,16,1,1,0,1,577724,247,168.33333333333334
682,1,0.5,0,4,0,19,1.0,121,4,11,2337,18,0,1,1,1,959728,11,121.0
772,0,1.1,1,12,0,39,0.8,81,7,14,2819,3,1,1,0,3,2436156,255,101.25
1709,1,2.1,0,1,0,13,1.0,156,2,2,3283,15,1,0,0,3,1348990,17,156.0
1949,0,2.6,1,4,0,47,0.3,199,4,7,1433,20,0,0,1,1,334554,55,663.3333333333334
1602,1,2.8,1,4,1,38,0.7,114,3,20,1037,20,1,0,0,0,367208,56,162.85714285714286
503,0,1.2,1,5,1,8,0.4,111,3,13,2583,12,1,0,0,1,250245,66,277.5
961,1,1.4,1,0,1,57,0.6,114,8,3,2782,7,1,1,1,2,417294,162,190.0
519,1,1.6,1,7,1,51,0.3,132,4,19,3763,4,1,0,1,3,354750,16,440.0
956,0,0.5,0,1,1,41,1.0,143,7,6,3286,12,1,1,0,3,549325,136,143.0
1453,0,1.6,1,12,1,52,0.3,96,2,18,2373,10,1,1,1,2,245157,10,320.0
851,0,0.5,0,3,0,21,0.4,200,5,7,478,10,1,0,1,0,1478973,84,500.0
1579,1,0.5,1,0,0,5,0.2,88,7,9,3532,12,0,0,1,3,2361562,187,440.0
1568,1,0.5,0,16,0,33,1.0,150,8,20,508,6,1,1,1,0,270102,5,150.0
1319,1,0.9,0,3,1,41,0.9,107,1,18,2227,3,1,1,1,1,97920,90,118.88888888888889
1310,1,2.2,1,0,1,51,0.6,100,4,0,3845,12,1,1,0,3,341582,42,166.66666666666669
644,1,2.7,0,0,0,22,0.7,157,8,3,1262,15,1,0,0,0,273991,12,224.2857142857143
725,0,1.3,1,16,0,60,0.4,160,8,17,1326,15,1,0,0,1,1416366,40,400.0
589,1,2.3,1,1,0,61,0.6,160,4,10,2113,2,1,0,1,1,349635,91,266.6666666666667
1725,1,1.6,1,6,1,6,0.5,119,2,18,3429,4,1,1,0,3,795963,30,238.0
790,0,2.0,1,16,1,11,0.3,87,6,17,3169,2,1,0,1,2,253310,6,290.0
560,0,0.5,1,15,0,50,0.3,159,2,20,2150,11,1,1,0,2,2335624,216,530.0
1347,0,2.9,0,5,0,44,0.6,132,1,14,2484,11,1,0,1,2,419678,36,220.0
1646,1,2.3,0,8,1,41,0.2,185,2,10,3339,19,1,1,0,3,3332700,180,925.0
1253,1,0.5,1,5,1,5,0.2,152,2,19,1878,4,1,1,0,1,489090,90,760.0
1656,0,1.0,0,5,1,34,0.1,166,3,7,1629,14,1,1,0,1,1281280,180,1660.0
1195,1,2.8,0,1,1,20,0.8,110,2,14,504,12,1,1,0,0,2610160,27,137.5
1514,0,2.9,0,0,0,27,0.2,118,3,1,1152,20,0,1,1,1,336660,24,590.0
1723,1,1.1,1,1,0,42,1.0,164,8,14,3587,3,1,0,0,3,361782,50,164.0
1054,1,1.8,1,3,1,40,0.8,196,7,10,2296,12,1,0,1,1,20898,192,245.0
578,1,2.6,1,2,1,57,0.2,162,8,8,1270,5,1,0,1,0,1468825,45,810.0
596,0,2.1,1,9,0,64,0.8,111,8,15,3238,10,0,0,0,3,1640790,208,138.75
1547,1,3.0,1,2,1,14,0.7,198,3,19,2059,15,1,0,1,2,1908944,30,282.8571428571429
1760,0,1.4,1,5,0,63,0.8,127,8,19,2053,16,0,1,0,2,1911306,228,158.75
1654,1,1.5,1,0,1,43,0.3,109,2,0,3112,10,1,1,0,3,343434,60,363.33333333333337
1457,0,1.9,1,1,1,16,0.3,102,3,10,1440,12,1,0,1,1,1303731,136,340.0
1073,1,0.5,1,0,0,51,0.5,145,7,0,2908,18,0,1,0,2,554760,36,290.0
1936,0,2.1,1,10,1,46,0.6,104,3,20,2552,13,1,0,0,2,691012,98,173.33333333333334
823,1,2.7,1,13,0,60,0.5,148,8,19,905,17,1,1,1,0,1191078,154,296.0
987,0,1.3,1,0,1,61,0.4,107,3,9,3963,20,1,0,1,3,476420,36,267.5
1757,0,0.5,0,8,0,49,0.5,180,6,14,2056,4,0,0,0,1,188945,35,360.0
1063,0,1.4,1,2,1,48,1.0,128,5,4,2910,9,1,1,1,2,86741,195,128.0
1484,0,3.0,0,3,0,12,0.6,134,3,5,1457,20,1,1,0,1,887604,56,223.33333333333334
799,1,2.3,0,1,1,63,0.8,144,8,6,431,6,1,1,1,0,351975,90,180.0
1156,1,1.2,1,0,1,50,0.8,159,2,0,470,15,1,1,0,0,176134,42,198.75
1720,0,2.0,0,15,1,55,0.5,168,2,18,2148,5,1,1,1,2,1018809,28,336.0
702,0,2.6,1,2,1,9,0.7,141,3,3,2955,19,1,0,0,2,791280,40,201.42857142857144
616,0,1.9,1,13,1,44,0.8,81,3,17,3366,13,1,1,0,3,1053318,144,101.25
1358,1,0.5,0,11,1,36,0.3,155,4,14,3068,4,1,1,0,3,2907770,36,516.6666666666667
1866,0,1.4,0,0,0,30,0.5,182,3,0,3834,8,0,0,0,3,192348,176,364.0
1242,0,1.1,1,0,0,10,0.6,165,2,1,1050,4,1,0,1,0,562275,11,275.0
1166,0,1.5,1,0,1,43,0.8,80,4,1,3993,7,1,1,0,3,123615,7,100.0
1448,1,0.5,1,6,1,45,0.8,138,7,11,3378,2,1,1,1,3,982680,143,172.5
1407,1,2.4,0,1,1,22,0.7,104,4,4,2192,13,1,0,1,2,1426324,63,148.57142857142858
605,0,1.0,0,8,1,9,0.1,142,3,16,392,4,1,0,0,0,164160,90,1420.0
1038,0,1.2,0,3,0,43,0.7,141,1,5,3709,12,1,1,1,3,2552,66,201.42857142857144
797,1,2.9,1,4,0,38,0.5,90,4,6,590,6,0,1,0,0,1078119,18,180.0
819,0,0.6,1,8,1,42,0.9,188,6,20,1814,13,1,0,1,1,421038,20,208.88888888888889
1114,0,2.8,0,4,1,9,0.4,197,3,15,907,17,1,1,0,0,1113840,70,492.5
1234,1,1.6,1,1,0,33,0.6,172,1,3,1449,6,0,0,1,0,129148,77,286.6666666666667
1199,1,2.5,1,15,1,16,0.2,116,4,20,3448,10,1,0,1,3,1812736,221,580.0
1103,0,1.0,1,6,0,29,0.7,111,6,8,1837,16,0,1,1,1,1471140,56,158.57142857142858
1589,1,0.6,1,0,1,58,0.9,85,7,7,3464,6,1,1,1,3,384714,190,94.44444444444444
999,0,2.9,1,11,1,64,0.2,199,4,19,2593,16,1,1,0,2,2257552,154,995.0
1510,1,0.9,1,2,0,45,0.9,180,5,3,3484,11,0,1,1,3,1240416,54,200.0
1008,0,0.8,0,11,0,61,1.0,114,3,15,2009,11,1,0,0,1,1208394,30,114.0
1127,1,2.9,1,5,1,57,0.8,163,1,13,2048,17,1,1,1,1,973472,55,203.75
1412,1,2.4,0,5,0,25,0.8,96,8,17,837,4,0,0,1,1,977304,135,120.0
1496,1,2.0,1,4,0,42,0.5,182,5,5,854,7,0,1,1,0,71136,96,364.0
1083,1,2.9,1,1,1,64,0.8,178,3,11,3210,4,1,0,0,3,1145950,39,222.5
668,0,0.5,1,0,0,3,0.1,155,5,13,2746,8,1,1,1,2,801198,45,1550.0
1309,0,1.1,1,0,0,33,0.5,100,4,14,2334,11,1,0,1,2,780914,10,200.0
1724,0,2.0,1,2,1,57,0.5,177,3,5,2822,16,1,1,0,3,3088020,57,354.0
1977,1,2.0,1,7,1,54,1.0,171,7,18,1971,14,1,1,0,2,1522692,126,171.0
885,0,2.3,1,0,1,15,0.4,103,7,0,1410,5,1,1,1,0,616738,160,257.5
879,1,2.5,0,11,1,14,0.7,83,6,15,349,2,1,0,1,0,445315,160,118.57142857142858
1322,0,1.7,1,6,0,7,0.8,140,3,9,1418,12,0,1,0,1,352230,323,175.0
1137,1,1.0,0,18,0,7,1.0,196,3,19,3616,12,1,1,1,3,1110618,65,196.0
1355,0,2.3,0,10,1,23,0.2,132,5,16,880,8,1,1,0,0,580041,76,660.0
1665,1,0.5,0,3,1,60,0.2,194,6,18,1601,14,1,0,0,2,2647248,306,970.0
657,0,2.5,0,0,0,37,0.7,141,2,1,1412,18,0,1,0,0,457436,42,201.42857142857144
593,0,0.5,0,6,0,31,0.4,156,7,7,1692,7,1,0,0,1,1623861,12,390.0
1883,1,0.5,0,3,1,10,0.3,146,6,13,2600,20,1,0,0,3,1453804,128,486.6666666666667
1732,1,1.1,0,4,1,12,0.8,119,8,9,1308,11,1,0,1,1,725944,112,148.75
543,0,0.5,0,0,0,57,0.7,192,5,4,2413,15,1,0,0,1,384744,238,274.2857142857143
1939,1,2.8,1,0,1,55,0.6,199,4,10,1047,18,1,1,0,0,166400,140,331.6666666666667
553,0,2.4,1,1,1,8,0.5,121,7,3,1204,8,1,1,1,0,293150,44,242.0
832,0,0.7,1,2,1,39,0.7,103,4,3,1799,11,1,0,1,1,188000,10,147.14285714285714
1661,0,1.9,1,5,0,23,1.0,172,5,10,2676,11,0,1,1,3,1382364,72,172.0
1657,1,2.4,0,3,0,42,0.1,198,5,16,2597,14,1,0,0,3,3178920,18,1980.0
1135,1,2.0,1,0,0,46,0.3,83,1,4,3029,9,1,1,1,3,540878,323,276.6666666666667
